Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,reviews
A380,Solo Leisure,Economy Class,London to Singapore,September 2018,5.0,5.0,5.0,4.0,4.0,,5,yes,"✅ Trip Verified |  London to Singapore. It was a wonderful flight.  I was lucky having a 2-seats-row for my own on the upperdeck, but that was only the last criteria to make the flight perfect. The crew was very friendly and the food was the best I've had on an airplane. If you fly the A380 in economy, book seats in the upperdeck. Best seats on the plane: 83A or 83K."
,Solo Leisure,Economy Class,Dublin to London,September 2018,1.0,1.0,,,1.0,,1,no,"Not Verified | Dublin to London. I was trying to add additional bag online but system was keep saying that my email address is not correct, but I was giving completely correct email address. When I checked in my flight then additional bag option was completely gone and system asked me to add additional bag from airport charging me €70 as compare to €35 online price. Afterwards I phoned customer care to discuss the issue, customer care agent has dropped my call three times. On fourth time I was talking one of the customer care agent. He was not helpful at all, then I asked him to connect me with his supervisor or manager, they put me on hold for about 55 mins and said manager is busy. This is completely unprofessional and was showing no empathy. British Airways is trying to rob me by compelling me to pay double price at airport for extra baggage. British Airways was always my first priority. Unfortunately, I won’t be flying again with British Airways due to this awkward behavior."
A321,Family Leisure,Business Class,London to Pisa,September 2018,1.0,4.0,4.0,,4.0,,1,no,"✅ Trip Verified | London - Pisa (Return). I fly this route often as we have a house in Tuscany. This, in all reasonableness was the best so far - but only just. Outbound we went through the ""First"" wing check in at T5. (We are Gold card members). The breakfast we had in the lounge was just about OK. The South lounge was rammed. We took off on time and I declined a cooked breakfast. The lady next to me had a full English and it did look rather nice. The Captain popped out for the loo, and I caught his eye and enjoyed a pleasant ten minutes or so chat about aviation. A very nice bloke, who landed the plane superbly. Coming home, we were delayed by 45 minutes due to storm Ali. We had a very good lunch with the new Club Europe menu which came into effect two days earlier. A nice prawn cocktail and a very nice coronation Chicken. Downed a couple of G&Ts. FAs on both flights were great. There has been a massive improvement here on the catering side. The seating is still hopeless. Three seats between two and zero legroom. BA really should look at the competition in the Far East who offer excellent regionalized business class. The product is only worth it in a Sale or Avious points. The every day fare price is ludicrous."
,Family Leisure,Economy Class,Prague to Heathrow,August 2018,1.0,3.0,,,1.0,,1,no,"✅ Trip Verified |  I was in Prague flying British Airways back to Heathrow. Apparently there were thunderstorms in London so the flights were being delayed. My 17:15 flight was delayed until 8 am the next morning. There was no British Airways person at the Prague airport to relay this message: some consolidator passed out sheets of paper advising people of the remuneration available to them should they spend the night and wait for the 8 am flight. The sheet of information didn't offer any hotel suggestions or ideas of how to get back into Prague. This consolidator also mentioned that there was a 20:00 flight and there was room for thirty people on this flight. So after calling British Airways and finding  their offices were  closed for the evening, I went  online and booked the flight. Because of the late timing, I was charged $356USD. Then after countless emails and hours spent trying to get through on the phone, I finally learned that BA would only reimburse me the non-used flight that I had booked 3 months earlier- at a cost of $96 USD. They also said they would send me a $50 flight voucher: not sure how many months it will take until I receive it. Is there any other airline that doesn't simply rebook a significantly delayed passenger on the next flight and not try to extract outrageous sums from them? I will never fly British Airways again."
"Boeing 787-9, A380",Business,Premium Economy,Kuala Lumpur to London Heathrow,September 2018,3.0,4.0,3.0,3.0,5.0,,4,yes,"✅ Trip Verified | 
BA34 KUL-LHR 6 Sept, return BA11 LHR-SIN-KUL on 16 Sept. All flights in World Traveller Plus with the exception of SIN-KUL on MH economy. On the KUL-LHR leg, the aircraft was clean and spacious in the PY cabin. The seats were the biggest let down. Whilst there was adequate legroom, they were hard and uncomfortable, especially when reclined with virtually no lumbar support. The headrest did not move at all. The seats taper at the waist which is odd and given that they are quite wide, there is very little storage apart from the usual pocket which I think is a missed opportunity by BA to maximise utilisation of space. The food was okay, you get two meals, the first being quite substantial but the second was a joke. IFE was okay but the best part of the journey was the staff who were pleasant and obliging. The return flight was on an A380. Excellent boarding procedure as it was a full flight. Again, seats were the same but the A380 has that wonderful storage space on the upper cabin. Staff were less conspicuous this time around. Overall, I would recommend them but attention needs to be paid to their seats."
A319,Couple Leisure,Business Class,Los Angeles to Leeds via London Heathrow ,June 2018,4.0,4.0,4.0,3.0,1.0,2.0,3,no,✅ Trip Verified | We flew from Los Angeles to Leeds Bradford via Heathrow on Thursday 13th September with British Airways and codeshare partner American Airways. We arrived safely but our bags did not. It is now Monday afternoon and after receiving five different text messages contradicting each previous one we are still without our bags. Come on BA sort this shambles out.
A320,Couple Leisure,Business Class,Brindisi to London,September 2018,1.0,2.0,2.0,,1.0,,2,no,"✅ Trip Verified |  Brindisi to London. Flying from any airport that includes Ryanair among its serving airlines has to be a bad sign. Brindisi airport is at least modern but it makes few concessions to comfort and there was certainly no lounge for Club Europe passengers. There was also no priority check-in, or, indeed, priority anything. Boarding was a fiasco, with two lines directed into pens, pending the mad dash to the plane, which then entailed using a rather weird, tiered set of steps that was just another queue. Service in Club Europe commenced efficiently, but the cabin crew were of the breezy, cheery type who'd have been better suited to Ryanair. The brief drinks service over, it was on to the the much-vaunted, new look Club Europe meal service. Sadly, this proved to be just another cost-cutting, exercise, with everything piled on to the tiny plastic tray at once, and the appetiser and cheese 'courses' reduced to microscopic portions in little pots. And, of course, the seats haven't changed, although, interestingly, BA seem intent on packing ever more passengers into the Club Europe section, which means that the service is little different to the old economy. Still, we arrived only 30 minutes behind schedule and the priority tags did result in our bags coming off the belt within only a few minutes. It's just that the whole inflight experience is so lacklustre and un-business-like."
A380,Couple Leisure,Premium Economy,Chicago to London,September 2018,1.0,1.0,1.0,1.0,3.0,,1,no,"✅ Trip Verified |  Chicago to London. I have flown long haul many times with both BA and Virgin premium economy. In my view whilst the Virgin product has improved, the BA equivalent has deteriorated such that Virgin is significantly better. Despite booking and paying for seats with BA this got changed without notification and we ended up in the back of WT+ on the A380 which are dreadful seats by the toilet with limited recline on an overnight flight. For the first time in many years I found the food inedible and the service not great (for example no cutlery initially on tray, no food choice as had run out of other choice, one drink serving and no where to get water on flight). Went through 3 layers of customer service with BA on seat booking issue but consistently fobbed off. Plane was also very warm so that in all a very uncomfortable return leg. "
,Family Leisure,Economy Class,Berlin to London,September 2018,2.0,2.0,,,2.0,,1,no,"✅ Trip Verified |  Berlin to London. It was a connecting flight, so I should not complain. The flight was on time and the machine clean and? They do not serve free water, let alone tea or coffee. While this obviously costs nothing it testifies to the low perception of customers. BA simply turned into a low cost airline."
Boeing 777,Solo Leisure,Premium Economy,Riyadh to London ,August 2018,5.0,5.0,5.0,4.0,3.0,,5,yes,"✅ Trip Verified |  British Airways is my favorite airline. Boeing 777 was 21 years old but clean. The staff was professional. Food was above expectation. During 7 hours flight staff is always there. Captain kept updating us about weather, turbulence, and time. "
A320 / Boeing 787-9,Couple Leisure,Economy Class,Rome to Newark via London,September 2018,4.0,4.0,3.0,3.0,4.0,,3,yes,"✅ Trip Verified |  Rome to Newark via London. The first sector was on a A319. Flight was a tiny bit delayed but arrived on time. Boarding at FCO was initially by groups and then a free for all after groups 1 and 2. Flight attendants friendly and welcoming. Seat comfort was pretty good with the leather seats though legroom was tight. There was really nothing to set this flight apart from any other low cost carrier as everything had to purchased - even water. No entertainment either. Was prepared for this so packed a lunch from the airport which was better than what appeared to be on the M&S menu. Connection at T5 was smooth as anything given our arrival mid afternoon. Boarding for the flight to Newark was organised and painless. I was dreading this 787 flight a little based on my previous experience with another airline where it felt cramped. Happy to say, the seat comfort was pretty good, legroom was manageable. I was however surprised that for a 2 year old aircraft (i checked), it was pretty dirty. There was grime around the USB port (which didn't work), tv screen and along the floor by the wall. The cushion on the seatback in front appeared to be busting out the sides as well. I found the touchscreen IFE to be outdated and slightly slow in response. The selection was not as extensive but I did find some excellent British content that I had not seen before. The real standout was the cabin crew who were all somewhat senior but their experience shone through in just how consistently friendly, professional and warm they were with their service. They were generous with drinks and very efficient and quick. The main meal was decent though the pre arrival snack of sandwiches were a little dry and disappointing. All in all, a surprisingly good flight on the transatlantic leg in comparison to the sub par european sector."
Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,September 2018,3.0,4.0,2.0,3.0,1.0,5.0,3,no,"✅ Trip Verified |  London Heathrow to New York JFK. The First Wing at Terminal 5 was rubbish tonight, 20 or so deep and it’s really the only decent part of BA’s ground operation. Flight left late due to repairs then the usual wait for a tow in at Kennedy made us overall late. Staff very cheerful. This route gets decent catering normally but only 3 main options and the Indian chicken was very bland."
Boeing 777-200,Couple Leisure,First Class,London Heathrow to Dubai,September 2018,4.0,5.0,5.0,3.0,4.0,2.0,4,yes,"Not Verified |  London Heathrow to Dubai. This was the first time I had flown in first class  on BA. I had read many reviews before travelling and they were somewhat mixed. BA's first class cabin is not even close to the best in the skies but then again it isn't the same price and reward tickets are readily available if you are a little bit flexible on dates. We were on a 777 which is probably one of the oldest in the BA fleet. The cabin was clean but a little bit tired in places but the seat was very comfortable and spacious. The sleep suit and amenity kit were great with lots of little touches to make you more comfy. It is nice they offer a male and female kit, my wife was delighted with the contents. The Champagne that BA offer in first is superb. I enjoyed a couple of glasses in the lounge and some on board and it is probably the best champagne I have tasted. Choice of other wines is good too and a particular treat is the Johnnie Walker Blue Label if you are a whiskey drinker. Food was very tasty and well presented. I had a seared prawn amuse bouche followed by poached baby pear with blue cheese and walnut brittle then Lamb Machboos as a main course and finally chocolate mille feuille. We were offered ice creams a hour or two later and then afternoon tea a couple of hours before landing. I cant really fault any of it. It was the best airline food i have ever eaten and better than a number of restaurant meals too. IFE was decent although the screen has to folded away so no entertainment during take off or landing,. I believe this has been rectified in later versions of this seat fitted to the 787. I do wish they had a full series of a show rather than just some random episodes but there was plenty of choice. The thing that really made this flight special were the cabin crew. From the moment we stepped on board until we deplaned they were fabulous. Attentive with out being over-bearing. Witty and charming but still professional and always available to attend to your every need. They were superb. Wifi was available but the page to connect didn't load up when i tried it. I dint really pursue it to be honest as i was happy to enjoy the other pleasures first had to offer. This was a great flight and i would wholly recommend that you try out first. Whether i would choose it over Club World would be on flight by flight basis. You have to do it once though!"
A320,Couple Leisure,Economy Class,Heraklion to Gatwick,September 2018,2.0,2.0,,,1.0,,1,no,✅ Trip Verified |  Heraklion to Gatwick. Left my luggage behind on the belt by mistake. 30 mins after I realised I went back to the airport but no British Airways staff was willing to help. Asked me to ring a phone from the arrival hall pillar. Dialed for BA baggage enquiry and staff picked up the phone and hung up on purpose and never answered again. This is so frustrating.
Boeing 767,Solo Leisure,Business Class,Madrid to London Heathrow,September 2018,3.0,5.0,5.0,,5.0,,5,yes,"✅ Trip Verified | Flew Madrid to London Heathrow. The 767 is ancient and BA have clearly given up on hiding that fact, I guess they will be phasing these old but great planes out of service soon. I love flying in 767s, the configurations are generally very comfortable but to be honest the plane was really dated and BA should definitely improve this. Aside from this the flight was really very good indeed. BA Business class has in my experience always been consistent, consistently good. BA cabin crew in Business class are a real asset. This was one of BA's more traditional crews and they create a very agreeable atmosphere. The flight was very busy but the staff were very efficient and the loading on the flight did not prejudice the overall experience. Food was very tasty indeed and there was an excellent selection of drinks. I'll be sad to see the 767s go but the time has come."
A321,Couple Leisure,Business Class,London Heathrow to Brindisi,September 2018,2.0,3.0,2.0,,2.0,,3,no,"✅ Trip Verified |  London Heathrow to Brindisi. We weren’t expecting the long queue for Club Europe check-in, but mid-afternoon is apparently particularly busy in T5. Galleries South lounge was also teeming, but at least the filthy chairs had been replaced and there was a reasonable selection of hot and cold food. Group boarding was handled efficiently. The A321 was relatively new and clean, no pre-take-off drinks were offered. Departure was delayed by about 30 minutes but arrival was on time. The Club Europe section was unusually busy, with at least ten, fully occupied rows, including families with pre-school children. Despite the congestion and chaos, the food and drink service was handled efficiently, although the food was no better than the old World Traveller offering. It’s hard to see the point of BA’s short haul business class product when the experience is second rate."
A320,Business,Economy Class,London to Madrid,July 2018,2.0,3.0,1.0,,2.0,,2,no,"✅ Trip Verified | I have BA silver membership. This promises fast track, choice of seats at booking, priority boarding and lounge access. I would advise all travellers that in reality these benefits are intermittent at best and unavailable at worst. The majority of the time my seat choice is changed, fast track at Heathrow is slower than the normal queue, and the lounges so overcrowded that it's sometimes hard to find a seat. The Iberia lounge at Madrid is equality poor, with stale tortilla the only offering at breakfast. British Airways is a rip off. I have uploaded by way of example a seat map of their A321 and seat 22c. This seat is not extra legroom and is cramped like the others. Yet on BA.com they will try to sell it as an exit seat as if it has extra legroom. I recently travelled on Virgin Atlantic and Cathay Pacific in business and economy and it really struck me just how abysmal BA/Iberia are by comparison."
,Couple Leisure,Economy Class,Hamburg to London,September 2018,3.0,1.0,,,1.0,,3,no,"✅ Trip Verified |  Hamburg to London. Initial flight from London cancelled from under us 3 days from departure and we had a firm booking to collect a motorhome upon arrival. Total chaos. Ground service appalling and no free service on board. Checkin from Hamburg appallingly slow, and didn't open until 2 hrs from departure. Check in demanded that cabin baggage be checked in while we demanded we keep it. All in all an unsatisfactory airline."
Boeing 747,Solo Leisure,Premium Economy,Glasgow to Miami via London,August 2018,3.0,5.0,5.0,2.0,4.0,,4,yes,"Not Verified |  Glasgow to Miami via London. Glasgow to Heathrow was painless as was transfer to t3. Heathrow to Miami on aging 747. Flight delayed by an hour due to temperatures on board being unsafe to board. Kept informed by gate team about progress.  TV screen tiny and poor choices of entertainment. Plane was looking it's age and a bit run down around the edges. Premium economy offering in cabin and seat comfort far superior on A380. What made this journey very good was the young lady looking after the premium economy cabin. Polite, efficient, welcoming and nothing was any bother for her. Service with a smile from start to finish . People in here quick to criticise poor service so big shout out to this crew member for doing a great job. Also meals and drink selection very good. Although leaving an hour late we arrived in time so overall job well done BA and looking forward to return journey."
Airbus A32,Solo Leisure,Economy Class,London Heathrow to Budapest,August 2018,5.0,5.0,,,4.0,,4,yes,"✅ Trip Verified |  London Heathrow to Budapest. After so much disappointing experience with BA, this was finally a nice flight. I got an emergency seat assigned at the online check-in, though these are usually for extra money. On top of this no one sat next to me, so I had better seat than the people in Euro Club (Business class) since their legroom is the same as on economy class. The flight departed and landed in time and was uneventful anyway."
A320,Solo Leisure,Economy Class,Budapest to London Heathrow,September 2018,4.0,4.0,,,5.0,,4,yes,"✅ Trip Verified |  Budapest to London Heathrow. The flight departed in time and would have arrived ahead of schedule if the gate had not been occupied by the previous aircraft. The ride was a bit bumpy, but was not too serious. The flight was full (with kids) and the crew did everything to make the journey smooth. I did not purchase any food, but I saw they ran out of a lot of options due to the unexpected number of on-board purchases."
A319 / Boeing 787-9,Family Leisure,Business Class,Pisa to Toronto via London,September 2018,4.0,5.0,5.0,4.0,5.0,,5,yes,"✅ Trip Verified |  London to Toronto. Group of 10 people age from 2 to over 60. Business Class seating in 787/9 very conducive for family travelling, allows for interaction. Forward Business Class cabin on 787 is fairly private. Service on both flights was flawless, very attentive to the three small children while also allowing the adults to enjoy the meals. Food presentation especially on the intercontinental leg was really nice and the food on both flights was simply fantastic. Outstanding crew on BA 603 and BA 99 - on our outgoing flights from Toronto on August 16 similar great service. BA gets often negative reviews but myself travelling regularly with them have never had a bad experience. Their seating arrangement in Club World is perfect when travelling with family. Other carriers may have an advantage if one travels alone."
,Business,Business Class,Madrid to Heathrow,August 2018,1.0,1.0,2.0,,2.0,,2,no,"✅ Trip Verified |  Madrid to Heathrow. I fly with BA on a regular basis and am a gold card holder, their service attitude and facilities drop lower and lower. The planes are filthy, not cleaned properly between flights, the staff are hit and miss - but more miss than anything and very poorly turned out. The food in business is average and the seating in the newer planes is terribly uncomfortable - and as for customer service, there is no point in ringing them they are useless, rude, hostile and will never provide any assistance whatsoever."
,Solo Leisure,Economy Class,Singapore to London,August 2018,1.0,1.0,3.0,3.0,2.0,,1,no,"✅ Trip Verified | Singapore to London. They wanted to charge me an extra GBP65 for being over the 23kg limit. The legroom seemed very small to me, the flight was super full and I was sitting next to a big woman who spilled over her side of the seat. I was asked if I would like tea or coffee with my breakfast and the steward said he will come back with the tea. After a long time I managed to catch the same guy walking by and asked him for my tea and he just said that there was no tea. "
Boeing 747-400 / A319,Solo Leisure,Economy Class,Washington to Frankfurt via London,August 2018,3.0,3.0,2.0,1.0,4.0,,2,no,"✅ Trip Verified |  Washington to Frankfurt via London. Check-In at Dulles Airport was smooth. I asked the agent if it was possible to get a window seat and she did, even though at the online check-in there was none available. Boeing 747-400 was 27 years old, the IFE was the size of my wallet and the quality was incredibly bad. The seats were ok, pretty standard but they had a head rest which was good. My seat was 27A and I had the whole row for myself. Unfortunately a crew member shortly before take-off told me that another passenger had issues with his IFE and they would replace him on 27C. Shortly after take-off the service began. There were 2 food options available. Chicken and vegatarian lasagne, I went for the Lasagne which was ok, nothing special. It came with a salad, a bread bun and a black forest cake. All in all an ok meal, nothing to complain about. The crew distributed 2 mini cans of soda which was a bit unsatisfying. After dinner the crew dimmed the lights and we were supposed to close the window shades for the people who wanted to sleep. I tried to watch some movies (the selection was ok) which was hard on this miniature IFE. In the morning the crew served orange juice and before landing a pretzel with cheese and a small water bottle. Connecting in Heathrow is pretty easy (in T5) there are signs everywhere! Security went fast. There is a huge quiet zone with battery chargers and free WIFI. We boarded again in groups which was good to avoid crowds. BA started to do a buy-on-board service which I hate. However I thought the pricing was ok. "
,Family Leisure,Economy Class,Rome to London,August 2018,3.0,3.0,,,3.0,,2,no,✅ Trip Verified |  Rome to London. Our flight was delayed from Rome by an hour and we could not connect to the next flight to Los Angeles as we landed in Heathrow 20 minutes before the departure. There were no staff members who helped us and they have conveniently put us on the next flight tomorrow. They put us on a hotel next to airport and provided dinner but did not provide additional vouchers for snacks and other stuff. 
A380,Solo Leisure,Economy Class,London Heathrow to Hong Kong,August 2018,5.0,5.0,3.0,5.0,4.0,,3,yes,✅ Trip Verified | I always like travelling on a BA A380. Seats in economy class are comfortable and always able to sleep which is rare on other airlines or types of planes. However the food is really poor. In the last 12 months I have had some of the worst airline food served from BA or Cathay Pacific and this includes my most recent travels with British Airways. Thankfully BA airline staff are always the best.
A318,Solo Leisure,Economy Class,London Heathrow to Düsseldorf,August 2018,5.0,4.0,,,5.0,,4,yes,Not Verified |  London Heathrow to Düsseldorf. Really good crew on both legs of the journey. Got to board first and let crew know about the fact I was flying solo with slight autism and they kept me safe the entire flight which was a bonus. Loved the fact that they asked if I was OK on board too.
A320,Couple Leisure,Business Class,London to Athens,August 2018,1.0,3.0,2.0,1.0,2.0,1.0,3,no,"✅ Trip Verified | London to Athens. Since I started using BA in 2011, I can only say that the quality becomes worse. The leg room in Business Class in A320 is the same like in economy. The only thing that you get is an empty middle seat. The meal choices are poor: I had to choose between curry and fish pie. Also, they first brought us the starter and the dessert and after 5-10 mins (once we ate the starter), they took the starter plate and they gave us the main. The on board service, is less 'attentive' than some years ago (probably cabin crew are over-utilised and want to get some rest which is understandable). Also, due to the plane being late, the cabin was not cleaned properly. At some point we need to think why would someone choose BA over low cost airlines. Tickets are priced in a similar way, there is no food on board for the economy (while for business the portion and variety are a joke), leg space is small, there are always delays to depart from Heathrow (not BAs fault, but at the end of the day I experience delays). What is that makes BA in European flights distinct? Probably nothing."
A380,Family Leisure,First Class,London Heathrow to Singapore,July 2018,5.0,5.0,5.0,4.0,5.0,,5,yes,"✅ Trip Verified |  London Heathrow to Singapore. Had a great experience in the Concorde Room, and Galleries First lounges in Heathrow T5. I was warmly greeted by a member of the crew, who held me aside and took me into the cockpit to meet the flight crew and have a look around, all because I expressed a slight interest, and for that I am thankful. The flight crew were very friendly and it was nice to see what goes on in the cockpit. The seat was very well presented, there was a small amenity kit, as well as a pair of pyjamas. The seat was clean with pillows, as well as ample storage space. You get a closet to hang clothes, a little compartment next to the seat, as well as the overhead bin, so I never ran out of room. The pre-departure beverage was a choice of water, orange juice, or champagne and hot towels were handed out. The flight left slightly behind schedule, but at Heathrow, this is something you expect. Very soon after take-off, the crew began serving dinner. I had already booked my meal in advance, but the choice of starters, mains and deserts, as well as the beverage menu, was very good. The meal I had was exceptionally tasty and I would have it again! Once dinner service had finished, the crew turned down the bed for me, whilst I went and changed into the comfortable pyjamas that were provided. The bed was very comfortable and at just over 6 feet tall, I did not have any issues fitting into the bed and stretching out. There were plenty of blankets and pillows available and I slept very well. When I awoke, I was offered coffee and a short while later, breakfast. The breakfast choices were continental, or cooked. I opted for the cooked option and I was not disappointed, as it was very tasty, and there was a lot of it. The inflight entertainment was good, and there was a large range of films, TV programmes/series, audio books, and kids programmes to choose from. The system was responsive and was good quality, although I did not watch any films, so I cannot speak of the sound quality. The crew served with a smile and even when I asked for a Latte, which the machine didn’t do, the crew went out of their way to make one for me which was very nice. They really made this already special experience even more special. If you want to treat yourself to BA First, I would thoroughly recommend it."
Boeing 787,Couple Leisure,Premium Economy,Philadelphia to London,August 2018,3.0,1.0,1.0,3.0,4.0,,3,no,"✅ Trip Verified |  Philadelphia to London. Nice plane, nice seats, low quality service on the plane. Both my husband and I ordered low sodium meals. His was delivered, mine was not. When asked, the attendant brought an uncovered tray with the sticker on the tray LSML. Obviously heated up quickly but was lukewarm, dry and I was troubled by the fact it was delivered with no foil covering the food. Not the same as my husbands meal, so I have to take the airlines word LSML that it was low sodium. Attendants serving coffee missed us and when I pressed the call button it was over 15 minutes before a flight attendant showed up. One pass through the cabin for drinks. After that, you had to go to the back of the plane to find an attendant and order a drink. Sandwich served before landing in the evening was horrendous. Hummus, limp piece of lettuce and soggy thin sliced tomatoes made this stale sandwich unappealing and tasteless to say the least. I expected edible food and better, more friendly service with this airline. Our flight attendant was stone faced and seemed curt and bothered each time we asked about my missing meal. Before landing many people still had trash but no final walk through by our invisible flight crew. I thought British Airways was better than this. "
Boeing 747-400,Family Leisure,Economy Class,London to Las Vegas,July 2018,1.0,1.0,1.0,1.0,1.0,,1,no,"✅ Trip Verified |  London to Las Vegas I experienced an ancient entertainment unit that was inoperable and could not be reset. The tray table did not stow properly so the armrest remained at a 45 degree angle with the metal frame exposed. The seat cushion was so badly sunken it was as if totally unpadded. One air vent for the 3-seat row and no in-seat power. Luggage was mislaid for 33 hours, even with priority tag. After writing to British Airways regarding disappointing flight, BA customer service contacted me and offered an apology and a $63USD voucher toward future BA travel to make up for their shoddy service. If you have a choice, choose another airline!"
,Business,Business Class,Zagreb to London,August 2018,2.0,2.0,1.0,,2.0,,2,no,"✅ Trip Verified |  Zagreb to London and during the check-in (24 hours before, I checked in via app) I was offered no choice of seating. During the flight, I was asked by stewardess if I would like any food - I find that approach not pleasant at all. I was not personally invited to use the Lounge. I find that lacking for a business class fare. "
A380,Family Leisure,Business Class,Los Angeles to Milan via London,August 2018,4.0,3.0,3.0,3.0,1.0,,1,no,"✅ Trip Verified |  I booked a round trip from Milan to California for my honeymoon. First flight Milan to San Francisco via London, while returning flight was from Los Angeles to Milan always via London. Both flights faced 1 hour delay and in both flights our luggage were not delivered at destination. When you check in the bags, business class is mixed with other One World members so it is not exclusive at all. Only First has some real advantages. We found business lane crowded for the category.  Worst business class experience and totally disappointed."
Boeing 777,Solo Leisure,Premium Economy,Toronto to London,August 2018,3.0,5.0,2.0,2.0,4.0,,3,yes,"✅ Trip Verified |  Toronto to LHR and LGW to Toronto return in WT+. Finally, BA has moved back into it’s own lounge which has been refurbished with new furniture. However, Premium Plaza still staff and operate the lounge. Food was ok – but the drinks choices remain poor. Slick boarding and a full PE cabin on a 777. Water and juice offered on boarding but still no prosecco offered on flights TO London. (apparently 3 are loaded in London for the O/W leg but none for the return.) Friendly mixed fleet crew who offered good service. Fast bar service followed by Veggie pasta or chicken stir fry offered which was foul. salty, dry and overcooked with reheated rice and mushy vegetables. The salad is a nonsense – a few leaves and a tomato slice. Pudding was sickly chocolate sponge thing which was gross. Got a couple of hours sleep. However the IFE froze after take off due to the PA system remaining locked on and preventing the IFE from working. A reset halfway through the flight worked, though two loud renditions of Delibe’s “flower duet” burst out throughout the aircraft twice waking everyone up. The standard T&Cs and juice and the pretzel roll with cream cheese offered before landing. I continue to be amazed this breakfast is offered as so few people accept or eat it given how awful it is. (BA should be embarrassed that it’s even offered) After leaving Toronto 5 mins late, we arrived 5 early at the gate at Heathrow which was welcome along with fast bags. For the return leg, I took the seasonal LGW to Toronto flight which was a couple of hundred bucks cheaper. An upgrade to Club World was a pleasant surprise. Fast check in at LGW but slow slow slow security – even in the fast track lane. Gatwick Airport sell £5 premium experience and so the lane was full of folk paying 5 quid mixed in with BA Fast track customers. Excellent lounge once again with a good choice of food, and champagne available as a help yourself. Efficient boarding and a great reception from the Gatwick cabin crew. A fast offering of champagne (with a top up) before take off though the old safety video was still showing. The Gatwick crew remind me of long haul crew from Heathrow – more experienced, faster and a more relaxed service than mixed fleet crew at who follow service to the letter which results in a slow and impersonal service. Fast bar service once airborne, followed by the old Biz food service. Overcooked steak (again) alongside jerk chicken and a veggie option. Plenty of wine and drinks along with T&C. After a pleasant 3 hour nap, I woke to afternoon tea which was the standard old offering minus the clotted cream – off the menu due to supply issues. At the gate early and fast bags too. This club flight was weird in that its hybrid in nature and in transition to the new biz service. So new toiletries and bedding but the old menu. I hope Gatwick catches up so BA don’t (unintentionally) promote two levels of Biz service with LGW being the poor relative. On the O/W leg, premium economy was in desperate need of a revamp. The food is truly awful – both dinner and breakfast, and it really wouldn’t take much to add better food, bedding and an enhanced drink service as BA really lag behind Air Canada on this route with premium economy. I do not regard the experience as a premium economy service other than the seat. All that said, I felt that BA is regaining it’s mojo with great crew, improved on board experience (cuts reinstated) and on time performance. Long may this improvement last!"
A380,Couple Leisure,Business Class,San Francisco to London Heathrow,July 2018,4.0,5.0,4.0,1.0,4.0,,4,no,"✅ Trip Verified |  San Francisco to London Heathrow on the lower deck of the A380 - a very quiet smooth flight. Did not want to pay the usual BA extortionate seat pre-reservation fees but still got seats together. After the real scrum at the departure gate - no apparent order, struggle to get through to Priority Lane, announcements completely inaudible etc we boarded to the reasonably comfortable, if narrow, seats. Of course the usual BA Club Class ""scramble over the legs"" to get to the aisle and 8 abreast - not really a premium product in today's competitive Business Class World. Welcomed with glass of champagne by attentive FA. OK meal - beef - with decent wines to accompany. Much more up to date touch screen AVOD system but still a dreadful choice of ""blockbuster"" films. Very extensive choice for breakfast - continental and cooked if you wanted it. Really very good FA's - made you feel welcome. Landed on time but baggage, for some reason, took about 3/4 hour to get to the belt. As usual I have mixed feelings about BA - if we are lucky enough to fly Club/Business Class it is comfortable but you do feel a bit let down by the appalling layout and huge charge to pre-reserve seat. If Virgin Atlantic fly the same route I will always choose their Upper Class as everyone has aisle access and you don't have to pay to pre-reserve your seat."
,Solo Leisure,Economy Class,London to Dublin,August 2018,5.0,5.0,2.0,,4.0,,3,yes,✅ Trip Verified |  London to Dublin. This was an early morning departure from Heathrow on a full flight. BA managed everything in a very professional manner. The bag-drop was efficient and the boarding process was conducted according to the rules. The cabin crew were immaculate in appearance and conducted the safety demonstration along with a video. During this short and very busy flight the crew were able to sell drinks and snacks and left a superb impression. I had a not so good experience with this airline earlier in the year and am glad to see that this time they were superb.
A321,Couple Leisure,Economy Class,London to Paris,January 2018,3.0,5.0,5.0,,4.0,,3,yes,"✅ Trip Verified |  London to Paris. I wish that they would update their aircraft or perhaps even do a little refurbishing. Especially when the seats feel worn out and the quality for what you are paying for does not feel worth it. That being said, this is better than any low-cost carrier."
A320,Couple Leisure,Economy Class,Amsterdam to London,June 2018,3.0,5.0,4.0,,4.0,,4,yes,"✅ Trip Verified |  Delivering outstanding customer service onboard. British Airways may not have the cleanest, newest or comfortable aircraft but their customer service has always been a delight  since I have flown with them."
